Room No,"  ลักษณะของความเสียหายที่พบ (เลือกได้มากกว่า 1 ข้อ)  
Types of damage found (more than one option may be selected)",Image Link,Damage Types
1616,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1VEWbtvhGDYSOFG0vF5hfnzWZa_MOfsep, https://drive.google.com/open?id=1IDvOt-GyBNDnuDhk6B7V8T0vh2bE55qY, https://drive.google.com/open?id=1YwyApU8kvtnx4zyG1MdamDzgk03xTIyb, https://drive.google.com/open?id=1jExMJsI19OWsSB31zH7mzAlMXFp0yCD0, https://drive.google.com/open?id=15UNnfnoo2nH_vdGxEien40vCXSFYFVb_, https://drive.google.com/open?id=1GunYn_zDM7aTrHdzGpLZ1MKgKfXKfd2D, https://drive.google.com/open?id=10iJdoK9mhvPz95VbX7oeZJtZ3ibwcrXN, https://drive.google.com/open?id=1VoUFksCxV1SROVlUSk1pxUQ_C5J-bzHe, https://drive.google.com/open?id=1IpvX7b5hbMmXpUJAGnmRfxgpBcgQGTl6, https://drive.google.com/open?id=1bHFkaS4t2Tb4ajxCK5UACifk-iiSPf9j",กระเบื้องหลุด/แตก  Tile loose/broken
1616,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=151JZng_Q7q_O9H8lhWwM8Tbh3fgxZmdL, https://drive.google.com/open?id=1-c5UgA2sW2vUKc_WVUH2IazQ9aq6aalz, https://drive.google.com/open?id=1WNTRhgq7CCp7s3s0cuYe-Pzg-vJJyLX2, https://drive.google.com/open?id=11YTdokP3R7WUwsWTbUmPm_JwEVP6RcKx, https://drive.google.com/open?id=1I0fMkJUd00XfKIAFPSi1FINnrj-3JU4L, https://drive.google.com/open?id=1WnPgwTsnm24IPyevzoUeo1TgAEByGw4I, https://drive.google.com/open?id=1WzaHVBy2EKSARO-gR6phU2YNC9zOEu4K, https://drive.google.com/open?id=1Kxm820hs9kZaz-_7Usd5Wm53s57bKVIH, https://drive.google.com/open?id=1AHrQOVhxrthEdhEVaWqgWfICiKF35a9_, https://drive.google.com/open?id=1EORI5Orv0Saioa-Asf6T77lEHsUEwP0c",ผนังแตกร้าว  / Cracked wall
1616,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=151JZng_Q7q_O9H8lhWwM8Tbh3fgxZmdL, https://drive.google.com/open?id=1-c5UgA2sW2vUKc_WVUH2IazQ9aq6aalz, https://drive.google.com/open?id=1WNTRhgq7CCp7s3s0cuYe-Pzg-vJJyLX2, https://drive.google.com/open?id=11YTdokP3R7WUwsWTbUmPm_JwEVP6RcKx, https://drive.google.com/open?id=1I0fMkJUd00XfKIAFPSi1FINnrj-3JU4L, https://drive.google.com/open?id=1WnPgwTsnm24IPyevzoUeo1TgAEByGw4I, https://drive.google.com/open?id=1WzaHVBy2EKSARO-gR6phU2YNC9zOEu4K, https://drive.google.com/open?id=1Kxm820hs9kZaz-_7Usd5Wm53s57bKVIH, https://drive.google.com/open?id=1AHrQOVhxrthEdhEVaWqgWfICiKF35a9_, https://drive.google.com/open?id=1EORI5Orv0Saioa-Asf6T77lEHsUEwP0c",เพดานหลุด/แตกร้าว  Ceiling falling/cracked
1616,"ผนังแตกร้าว  / Cracked wall, เพดานหลุด/แตกร้าว  Ceiling falling/cracked, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=151JZng_Q7q_O9H8lhWwM8Tbh3fgxZmdL, https://drive.google.com/open?id=1-c5UgA2sW2vUKc_WVUH2IazQ9aq6aalz, https://drive.google.com/open?id=1WNTRhgq7CCp7s3s0cuYe-Pzg-vJJyLX2, https://drive.google.com/open?id=11YTdokP3R7WUwsWTbUmPm_JwEVP6RcKx, https://drive.google.com/open?id=1I0fMkJUd00XfKIAFPSi1FINnrj-3JU4L, https://drive.google.com/open?id=1WnPgwTsnm24IPyevzoUeo1TgAEByGw4I, https://drive.google.com/open?id=1WzaHVBy2EKSARO-gR6phU2YNC9zOEu4K, https://drive.google.com/open?id=1Kxm820hs9kZaz-_7Usd5Wm53s57bKVIH, https://drive.google.com/open?id=1AHrQOVhxrthEdhEVaWqgWfICiKF35a9_, https://drive.google.com/open?id=1EORI5Orv0Saioa-Asf6T77lEHsUEwP0c",กระเบื้องหลุด/แตก  Tile loose/broken
1707,ผนังแตกร้าว  / Cracked wall,"https://drive.google.com/open?id=12JF9yuF2LqZH2JaB7MHNdEyP7ZdNJR_p, https://drive.google.com/open?id=1Er17iuwfAK8wBOosLavjbxUN6Sv9CUe-, https://drive.google.com/open?id=1G2DP42yo4VnpoJIW3KMh0AokIoxFBHyX, https://drive.google.com/open?id=1FiMFwv-jxsMjkh3DHjfxupaUKS2LaAFb, https://drive.google.com/open?id=1oaZ6OAum_pmQtxGuqK6GZ0xnS4PHjhq3",ผนังแตกร้าว  / Cracked wall
1708,ผนังแตกร้าว  / Cracked wall,"https://drive.google.com/open?id=1VhrrtjPoGmj4fOZR52Op-3EEkm7wod2h, https://drive.google.com/open?id=1mDtvh4OQzSpzb37Lra-gZUDFlDS0N4lh, https://drive.google.com/open?id=1rX0xp-CJLwyY9zXvTj_h50S0F0CTHyad",ผนังแตกร้าว  / Cracked wall
1912,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1UHsStZb88kwSfnuVbjN3iJwXwgOtJ_pS, https://drive.google.com/open?id=1k6CsBHTtJSSsmWpyh-OXgFzIpAhosKkc, https://drive.google.com/open?id=16oU-_-QbcP5ONtW_JhiRGGKxwy0WtKmg, https://drive.google.com/open?id=19vvSnoQgARTtjfDjdq9aQfSQ-uGgOwxQ, https://drive.google.com/open?id=1MIwgkVOUAKoj2bsgpnTzcSKXnPjIxn4A, https://drive.google.com/open?id=1PiNnPapKCMCjBZVVhIIYbpTFL5E2nUqS, https://drive.google.com/open?id=1y_dyGCha4qQKfuAao3goQAcTchg6p2HT, https://drive.google.com/open?id=16ASzKCJokMNfuVU9Gj224xr2PJRNUVi-, https://drive.google.com/open?id=1sTh_tart72-oO5rLcl7DKvo9Uu7zMiXo, https://drive.google.com/open?id=165TLkpeZDsMfMamojBhUk73jfe5ddLwp",ผนังแตกร้าว  / Cracked wall
1912,"ผนังแตกร้าว  / Cracked wall, กระเบื้องหลุด/แตก  Tile loose/broken","https://drive.google.com/open?id=1UHsStZb88kwSfnuVbjN3iJwXwgOtJ_pS, https://drive.google.com/open?id=1k6CsBHTtJSSsmWpyh-OXgFzIpAhosKkc, https://drive.google.com/open?id=16oU-_-QbcP5ONtW_JhiRGGKxwy0WtKmg, https://drive.google.com/open?id=19vvSnoQgARTtjfDjdq9aQfSQ-uGgOwxQ, https://drive.google.com/open?id=1MIwgkVOUAKoj2bsgpnTzcSKXnPjIxn4A, https://drive.google.com/open?id=1PiNnPapKCMCjBZVVhIIYbpTFL5E2nUqS, https://drive.google.com/open?id=1y_dyGCha4qQKfuAao3goQAcTchg6p2HT, https://drive.google.com/open?id=16ASzKCJokMNfuVU9Gj224xr2PJRNUVi-, https://drive.google.com/open?id=1sTh_tart72-oO5rLcl7DKvo9Uu7zMiXo, https://drive.google.com/open?id=165TLkpeZDsMfMamojBhUk73jfe5ddLwp",กระเบื้องหลุด/แตก  Tile loose/broken
2308,"ผนังแตกร้าว  / Cracked wall, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows",https://drive.google.com/open?id=1bbplJq-XWG5e0qBHE4E7HTVGUurQSxLj,ผนังแตกร้าว  / Cracked wall
2308,"ผนังแตกร้าว  / Cracked wall, ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows",https://drive.google.com/open?id=1bbplJq-XWG5e0qBHE4E7HTVGUurQSxLj,ประตู/หน้าต่างบิดเบี้ยวหรือปิดไม่สนิท Distorted or improperly closing doors/windows
